,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
20,GRZ,2022-09-29,2022-12-28,90,Thursday,157834,USD,13183,499998,118635,0.02636610546442186,8.999089736782219,0.23727094908379634,45-50,B,evillarreal,rallen@example.net,Michael Carson,M,22
21,BYU,2023-05-30,2023-09-01,94,Tuesday,566089,GBP,18403,500002,268396,0.03680585277658889,14.584361245449111,0.5367898528405887,45-65,F,mharris,thomaswilliam@example.com,Chad Perkins,M,31
22,GRZ,2023-04-26,2023-06-14,49,Wednesday,445629,GBP,21838,499998,316369,0.04367617470469882,14.487086729553988,0.6327405309621239,30-35,F,mharris,thomaswilliam@example.com,Chad Perkins,M,31
23,KTR,2022-07-31,2023-07-30,364,Sunday,368502,GBP,39964,500000,33212,0.079928,0.8310479431488339,0.066424,20-40,M,mharris,thomaswilliam@example.com,Chad Perkins,M,31
24,GRZ,2024-03-20,2025-06-20,457,Wednesday,591796,GBP,36823,499999,589400,0.07364614729229459,16.006300410069795,1.1788023576047153,20-40,B,mharris,thomaswilliam@example.com,Chad Perkins,M,31
25,KTR,2022-11-04,2024-02-12,465,Friday,15675,EUR,66747,500001,14173,0.13349373301253398,0.2123391313467272,0.028345943308113384,20-30,M,mharris,thomaswilliam@example.com,Chad Perkins,M,31
26,AKX,2023-10-27,2025-03-01,491,Friday,897853,GBP,16516,499998,672882,0.03303213212852851,40.741220634536205,1.3457693830775324,20-35,M,mharris,thomaswilliam@example.com,Chad Perkins,M,31
27,KTR,2023-06-01,2023-06-30,29,Thursday,23402,USD,6688,500000,3307,0.013376,0.4944677033492823,0.006614,20-40,F,mharris,thomaswilliam@example.com,Chad Perkins,M,31
28,BYU,2022-05-05,2022-08-26,113,Thursday,148524,GBP,66173,500002,104878,0.13234547061811752,1.5849062306378734,0.2097551609793561,20-40,F,mharris,thomaswilliam@example.com,Chad Perkins,M,31
29,BYU,2023-01-25,2024-06-16,508,Wednesday,979103,USD,24054,499998,516997,0.04810819243276973,21.493182007150576,1.0339981359925439,45-70,M,melissabowers,jjohnson@example.org,Christian Weber,M,48
30,GRZ,2022-11-26,2024-10-09,683,Saturday,705327,GBP,30868,500000,615396,0.061736,19.936374238693794,1.230792,20-40,F,melissabowers,jjohnson@example.org,Christian Weber,M,48
31,GRZ,2023-12-30,2025-10-03,643,Saturday,598061,EUR,10622,499997,475268,0.021244127464764787,44.74373940877424,0.9505417032502195,35-50,B,melissabowers,jjohnson@example.org,Christian Weber,M,48
32,GRZ,2023-05-17,2024-10-10,512,Wednesday,432438,EUR,40671,500003,92006,0.0813415119509283,2.262201568685304,0.18401089593462439,30-35,B,melissabowers,jjohnson@example.org,Christian Weber,M,48
33,GRZ,2022-08-13,2023-10-27,440,Saturday,41969,GBP,45628,500001,35530,0.09125581748836502,0.7786885245901639,0.07105985788028424,40-55,B,melissabowers,jjohnson@example.org,Christian Weber,M,48
34,AKX,2023-12-10,2024-04-01,113,Sunday,622831,USD,10526,499999,333562,0.021052042104084207,31.689340680220408,0.6671253342506686,30-50,F,melissabowers,jjohnson@example.org,Christian Weber,M,48
35,GRZ,2023-08-11,2025-01-08,516,Friday,184012,EUR,9545,499995,108745,0.01909019090190902,11.392875851231011,0.21749217492174922,45-50,B,melissabowers,jjohnson@example.org,Christian Weber,M,48
36,GRZ,2022-08-06,2023-10-28,448,Saturday,317426,USD,50795,500002,40453,0.10158959364162544,0.7963972831971651,0.0809056763772945,45-50,B,sarah81,fordkaren@example.net,Kayla Williams,F,70
37,AKX,2023-01-06,2024-07-20,561,Friday,998936,EUR,9734,500002,969348,0.019467922128311485,99.58372714197658,1.938688245247019,45-60,M,sarah81,fordkaren@example.net,Kayla Williams,F,70
38,BYU,2023-12-08,2023-12-20,12,Friday,378642,EUR,23364,499996,186746,0.04672837382699062,7.9928950522170865,0.37349498795990366,40-45,F,sarah81,fordkaren@example.net,Kayla Williams,F,70
39,BYU,2022-06-25,2022-12-12,170,Saturday,721850,EUR,54866,499999,368705,0.10973221946443892,6.720099879706923,0.7374114748229497,25-40,B,sarah81,fordkaren@example.net,Kayla Williams,F,70
40,AKX,2022-12-22,2023-02-21,61,Thursday,519968,GBP,15161,500002,12948,0.03032187871248515,0.8540333751071829,0.025895896416414335,30-55,F,sarah81,fordkaren@example.net,Kayla Williams,F,70
41,GRZ,2024-02-23,2026-01-21,698,Friday,779401,EUR,18970,499999,210189,0.03794007588015176,11.080073800738008,0.4203788407576815,30-40,B,sarah81,fordkaren@example.net,Kayla Williams,F,70
42,KTR,2024-03-07,2025-08-27,538,Thursday,956714,GBP,57068,499997,214470,0.11413668482010893,3.7581481741080816,0.4289425736554419,25-45,B,sarah81,fordkaren@example.net,Kayla Williams,F,70
43,AKX,2022-06-23,2023-03-12,262,Thursday,387110,EUR,54524,499999,366780,0.1090482180964362,6.726945932066613,0.7335614671229342,40-55,B,prodgers,garcialisa@example.com,Stephen Dillon,M,33
44,KTR,2023-05-22,2024-09-21,488,Monday,275037,EUR,54001,499999,106544,0.10800221600443201,1.973000499990741,0.21308842617685236,20-40,F,prodgers,garcialisa@example.com,Stephen Dillon,M,33
45,AKX,2022-12-08,2024-02-11,430,Thursday,933372,EUR,17425,499998,624337,0.0348501394005576,35.82995695839311,1.2486789947159789,20-30,F,cunninghamanne,brenda13@example.org,Luis Hernandez,M,50
46,AKX,2023-12-18,2025-02-24,434,Monday,929804,USD,59892,500001,645417,0.11978376043247914,10.776347425365659,1.2908314183371634,35-45,F,cunninghamanne,brenda13@example.org,Luis Hernandez,M,50
47,GRZ,2023-02-14,2024-01-11,331,Tuesday,347535,GBP,44216,499995,242713,0.08843288432884329,5.489257282431699,0.4854308543085431,45-55,F,cunninghamanne,brenda13@example.org,Luis Hernandez,M,50
48,KTR,2024-04-17,2025-03-18,335,Wednesday,887552,GBP,15860,500001,59521,0.03171993656012688,3.752900378310214,0.11904176191647617,25-40,F,cunninghamanne,brenda13@example.org,Luis Hernandez,M,50
49,BYU,2024-03-07,2025-05-04,423,Thursday,852106,EUR,59571,500002,325543,0.11914152343390627,5.46478991455574,0.6510833956664174,40-55,M,cunninghamanne,brenda13@example.org,Luis Hernandez,M,50
50,BYU,2023-03-28,2024-08-10,501,Tuesday,310300,GBP,17259,499996,163469,0.03451827614620917,9.471522104409294,0.3269406155249242,40-50,B,bettywilliams,xcox@example.net,Crystal Parks,F,54
51,GRZ,2023-02-27,2023-09-24,209,Monday,716025,EUR,82151,500000,688110,0.164302,8.376160971868876,1.37622,45-60,B,bettywilliams,xcox@example.net,Crystal Parks,F,54
52,KTR,2022-07-19,2024-03-20,610,Tuesday,411098,USD,13258,500004,390186,0.02651578787369701,29.430230804042843,0.7803657570739434,30-45,F,bettywilliams,xcox@example.net,Crystal Parks,F,54
53,KTR,2023-04-09,2024-05-26,413,Sunday,933689,EUR,39586,499998,28490,0.07917231668926676,0.7196988834436417,0.05698022792091168,30-35,M,bettywilliams,xcox@example.net,Crystal Parks,F,54
54,BYU,2023-08-05,2024-06-07,307,Saturday,806100,EUR,20467,500000,586891,0.040934,28.674989006693703,1.173782,30-35,M,lucas64,ereilly@example.com,Tara White,F,88
55,GRZ,2023-10-09,2025-01-28,477,Monday,141443,GBP,32578,500000,118311,0.065156,3.6316225673767573,0.236622,25-40,F,lucas64,ereilly@example.com,Tara White,F,88
56,GRZ,2023-11-16,2025-09-28,682,Thursday,101814,USD,49314,499997,3554,0.09862859177155063,0.072068783712536,0.007108042648255889,45-60,F,ysmith,ucastillo@example.com,Christina Moore MD,F,39
57,GRZ,2022-11-09,2024-07-07,606,Wednesday,480576,GBP,3971,500002,416180,0.007941968232127072,104.80483505414253,0.8323566705733177,35-45,B,ysmith,ucastillo@example.com,Christina Moore MD,F,39
58,BYU,2023-05-19,2023-12-07,202,Friday,13353,USD,74582,499998,11235,0.14916459665838663,0.15063956450618113,0.02247008988035952,35-45,F,ysmith,ucastillo@example.com,Christina Moore MD,F,39
59,AKX,2023-05-06,2025-01-07,612,Saturday,777674,USD,39131,499998,732063,0.0782623130492522,18.708006439906978,1.4641318565274262,30-35,B,ysmith,ucastillo@example.com,Christina Moore MD,F,39
60,BYU,2022-09-29,2024-02-27,516,Thursday,154095,GBP,17886,500001,111804,0.03577192845614309,6.250922509225092,0.22360755278489444,30-55,B,ysmith,ucastillo@example.com,Christina Moore MD,F,39
61,BYU,2023-06-25,2025-06-17,723,Sunday,320414,USD,62708,500001,4958,0.12541574916850165,0.07906487210563246,0.009915980168039663,20-25,B,ysmith,ucastillo@example.com,Christina Moore MD,F,39
62,KTR,2023-05-15,2023-05-30,15,Monday,698089,USD,43121,500002,523513,0.08624165503337987,12.140557964796734,1.0470218119127523,45-55,F,ajohnson,markgonzalez@example.com,Jody Anderson,F,41
63,AKX,2023-11-20,2025-10-31,711,Monday,964437,GBP,50746,500002,873606,0.10149159403362387,17.215268198478697,1.7472050111799553,30-45,F,ajohnson,markgonzalez@example.com,Jody Anderson,F,41
64,AKX,2023-03-13,2025-02-15,705,Monday,751425,USD,15657,500001,134047,0.031313937372125254,8.561474101041068,0.26809346381307236,45-60,M,ajohnson,markgonzalez@example.com,Jody Anderson,F,41
65,KTR,2024-01-18,2025-01-20,368,Thursday,934047,GBP,53816,500000,511045,0.107632,9.49615356027947,1.02209,45-65,B,ajohnson,markgonzalez@example.com,Jody Anderson,F,41
66,KTR,2023-09-20,2023-09-25,5,Wednesday,951401,USD,41352,499998,96107,0.08270433081732327,2.3241197523698975,0.19221476885907543,40-55,B,ajohnson,markgonzalez@example.com,Jody Anderson,F,41
67,BYU,2024-02-26,2024-03-17,20,Monday,979900,GBP,74134,499998,584108,0.1482685930743723,7.879083821188658,1.1682206728826916,35-45,F,ajohnson,markgonzalez@example.com,Jody Anderson,F,41
68,AKX,2023-07-14,2023-09-19,67,Friday,537310,USD,26139,500003,323400,0.052277686333881995,12.372317227131871,0.6467961192232846,20-40,F,ajohnson,markgonzalez@example.com,Jody Anderson,F,41
69,GRZ,2023-04-16,2024-01-20,279,Sunday,694461,USD,6270,499998,161361,0.012540050160200641,25.735406698564592,0.3227232908931636,20-25,M,ajohnson,markgonzalez@example.com,Jody Anderson,F,41
70,GRZ,2023-08-18,2024-07-18,335,Friday,154819,EUR,30310,499999,133295,0.06062012124024248,4.397723523589574,0.26659053318106635,30-40,B,murraysharon,xrichardson@example.com,Christopher Kim,M,88
71,KTR,2023-11-03,2024-10-15,347,Friday,335698,EUR,18207,500001,123554,0.03641392717214566,6.786071291261603,0.24710750578498844,40-60,F,murraysharon,xrichardson@example.com,Christopher Kim,M,88
72,KTR,2023-09-10,2025-06-05,634,Sunday,498672,GBP,36193,500000,496825,0.072386,13.727101925786755,0.99365,35-55,M,amberjohnson,rdiaz@example.net,Preston Hamilton,M,50
73,KTR,2023-04-18,2025-01-21,644,Tuesday,351081,USD,55420,499999,91582,0.11084022168044336,1.6525081198123421,0.18316436632873265,45-70,B,amberjohnson,rdiaz@example.net,Preston Hamilton,M,50
74,GRZ,2023-08-04,2024-04-09,249,Friday,652297,GBP,25691,500000,576416,0.051382,22.436495270717373,1.152832,45-70,M,amberjohnson,rdiaz@example.net,Preston Hamilton,M,50
75,KTR,2024-01-22,2025-10-28,645,Monday,662932,GBP,48686,499997,303987,0.09737258423550542,6.243827794437826,0.6079776478658871,25-45,F,amberjohnson,rdiaz@example.net,Preston Hamilton,M,50
76,KTR,2023-10-27,2025-01-04,435,Friday,727053,GBP,67457,500003,613280,0.13491319052085687,9.091421201654388,1.2265526406841558,45-65,F,jeromecrawford,renee32@example.net,Steven Adkins,M,21
77,KTR,2022-10-05,2024-08-21,686,Wednesday,86504,GBP,43338,500001,68044,0.08667582664834671,1.570077068623379,0.13608772782454434,35-40,B,jeromecrawford,renee32@example.net,Steven Adkins,M,21
78,GRZ,2024-03-23,2024-05-14,52,Saturday,145316,GBP,26821,499998,91749,0.053642214568858274,3.420789679728571,0.183498733994936,25-40,F,jenkinssteven,amandamiller@example.org,Matthew Hammond,M,56
79,AKX,2023-12-23,2024-09-07,259,Saturday,934520,GBP,42040,500000,614709,0.08408,14.622002854424357,1.229418,25-50,F,jenkinssteven,amandamiller@example.org,Matthew Hammond,M,56
80,GRZ,2023-11-15,2025-10-11,696,Wednesday,59188,EUR,61973,500000,31196,0.123946,0.5033805044132122,0.062392,20-30,B,jenkinssteven,amandamiller@example.org,Matthew Hammond,M,56
81,AKX,2022-07-30,2023-12-09,497,Saturday,221903,USD,11393,500001,55052,0.022785954428091143,4.832089879750725,0.11010377979244042,20-40,B,jenkinssteven,amandamiller@example.org,Matthew Hammond,M,56
82,AKX,2024-03-06,2026-02-03,699,Wednesday,342918,EUR,21637,500002,296653,0.04327382690469238,13.710449692656098,0.5933036267854929,20-25,B,jenkinssteven,amandamiller@example.org,Matthew Hammond,M,56
83,KTR,2023-02-23,2024-05-07,439,Thursday,606285,EUR,18371,500001,387359,0.03674192651614697,21.08535191334168,0.7747164505670988,20-40,F,balljohn,ymann@example.com,Hannah Green,F,83
84,KTR,2022-07-11,2023-10-02,448,Monday,255117,USD,49170,499998,85802,0.09834039336157345,1.7450071181614806,0.17160468641874568,25-30,B,balljohn,ymann@example.com,Hannah Green,F,83
85,AKX,2022-07-03,2022-07-20,17,Sunday,422357,USD,87165,499998,56486,0.1743306973227893,0.6480353352836574,0.11297245188980756,20-40,M,balljohn,ymann@example.com,Hannah Green,F,83
86,BYU,2022-05-25,2022-07-08,44,Wednesday,785873,EUR,51385,500002,66435,0.10276958892164431,1.292887029288703,0.13286946852212592,40-50,M,bergalexis,grahamrhonda@example.net,Joseph Jackson,M,58
87,KTR,2024-01-20,2025-01-27,373,Saturday,833686,GBP,32832,499997,216294,0.06566439398636392,6.587902046783626,0.43259059554357326,30-40,F,bergalexis,grahamrhonda@example.net,Joseph Jackson,M,58
88,AKX,2023-02-18,2023-09-21,215,Saturday,139609,USD,13473,500002,134745,0.026945892216431136,10.001113337786684,0.2694889220443118,35-55,M,bergalexis,grahamrhonda@example.net,Joseph Jackson,M,58
89,AKX,2023-07-27,2025-04-06,619,Thursday,702509,USD,28540,499998,245687,0.057080228320913286,8.608514365802383,0.49137596550386203,45-65,F,bergalexis,grahamrhonda@example.net,Joseph Jackson,M,58
90,AKX,2022-06-06,2022-08-08,63,Monday,735664,EUR,40465,500000,518315,0.08093,12.808970715433091,1.03663,20-35,M,thomasrobert,jennifer95@example.org,Casey Lloyd,F,37
91,KTR,2022-05-07,2023-07-28,447,Saturday,296982,EUR,25123,500001,293001,0.050245899508200985,11.662659714206105,0.586000827998344,35-50,F,thomasrobert,jennifer95@example.org,Casey Lloyd,F,37
92,GRZ,2023-10-25,2024-11-12,384,Wednesday,34395,EUR,48735,499997,12263,0.09747058482350894,0.2516261413768339,0.024526147156882942,40-45,B,thomasrobert,jennifer95@example.org,Casey Lloyd,F,37
93,AKX,2022-07-25,2023-11-23,486,Monday,127211,EUR,18282,500000,92640,0.036564,5.067279291106006,0.18528,20-45,M,thomasrobert,jennifer95@example.org,Casey Lloyd,F,37
94,KTR,2022-07-24,2023-01-16,176,Sunday,660609,USD,84658,500000,647812,0.169316,7.65210612109901,1.295624,30-55,M,thomasrobert,jennifer95@example.org,Casey Lloyd,F,37
95,GRZ,2023-06-13,2024-07-27,410,Tuesday,898616,GBP,30548,500001,852474,0.06109587780824438,27.906049495875344,1.7049445901108198,45-70,B,thomasrobert,jennifer95@example.org,Casey Lloyd,F,37
96,GRZ,2022-09-14,2022-12-03,80,Wednesday,132975,EUR,42825,500000,12382,0.08565,0.2891301809690601,0.024764,40-55,B,thomasrobert,jennifer95@example.org,Casey Lloyd,F,37
97,GRZ,2022-07-08,2024-06-19,712,Friday,668902,EUR,27565,499993,290535,0.055130771830805635,10.539996372211137,0.5810781350938913,45-55,F,walter97,millerbethany@example.org,William Mitchell,M,72
98,BYU,2024-03-13,2024-06-11,90,Wednesday,758775,GBP,58145,499998,208530,0.11629046516186065,3.5863788803852437,0.417061668246673,35-60,F,walter97,millerbethany@example.org,William Mitchell,M,72
99,KTR,2023-10-19,2024-09-26,343,Thursday,709380,EUR,26579,500000,243371,0.053158,9.156514541555364,0.486742,45-55,M,walter97,millerbethany@example.org,William Mitchell,M,72
100,KTR,2023-03-15,2023-07-29,136,Wednesday,581381,USD,55164,500000,375015,0.110328,6.798183597998695,0.75003,40-45,F,walter97,millerbethany@example.org,William Mitchell,M,72
101,AKX,2023-10-28,2024-07-08,254,Saturday,404246,USD,30361,499999,59616,0.06072212144424289,1.9635716873620763,0.11923223846447693,25-30,F,walter97,millerbethany@example.org,William Mitchell,M,72
102,AKX,2022-09-04,2022-09-20,16,Sunday,908156,USD,22236,499996,15172,0.04447235577884623,0.6823169634826408,0.03034424275394203,35-55,B,walter97,millerbethany@example.org,William Mitchell,M,72
103,KTR,2024-03-16,2024-12-12,271,Saturday,628351,EUR,25352,500000,455888,0.050704,17.982328810350268,0.911776,20-40,B,jerry40,twalton@example.com,Lauren Lopez,F,65
104,BYU,2023-08-28,2023-10-07,40,Monday,271396,GBP,27415,500000,261896,0.05483,9.553018420572679,0.523792,45-60,F,jerry40,twalton@example.com,Lauren Lopez,F,65
105,BYU,2023-02-24,2024-09-23,577,Friday,272907,EUR,81531,499997,25369,0.16306297837787026,0.31115771914977125,0.05073830442982658,20-30,B,jerry40,twalton@example.com,Lauren Lopez,F,65
106,KTR,2022-11-09,2023-12-08,394,Wednesday,612300,GBP,40710,499995,451342,0.08142081420814208,11.086760009825596,0.9026930269302693,35-55,B,jerry40,twalton@example.com,Lauren Lopez,F,65
107,GRZ,2023-05-09,2023-05-17,8,Tuesday,788513,EUR,31442,500001,471292,0.06288387423225153,14.98925004770689,0.9425821148357704,25-40,B,trangail,david33@example.org,Scott Farrell,M,54
108,GRZ,2024-04-10,2025-11-19,588,Wednesday,10698,EUR,53127,499997,4239,0.10625463752782517,0.07978993732000678,0.00847805086830521,30-45,M,trangail,david33@example.org,Scott Farrell,M,54
109,BYU,2022-07-19,2022-07-26,7,Tuesday,37425,USD,40944,499998,1872,0.08188832755331021,0.04572098475967175,0.0037440149760599043,20-35,B,trangail,david33@example.org,Scott Farrell,M,54
110,AKX,2022-05-14,2024-03-16,672,Saturday,500698,GBP,27409,499999,372471,0.054818109636219275,13.589368455616768,0.7449434898869798,40-50,F,trangail,david33@example.org,Scott Farrell,M,54
111,BYU,2024-03-16,2024-08-24,161,Saturday,594027,EUR,50172,500002,390770,0.1003435986256055,7.7886071912620585,0.7815368738525046,25-35,M,trangail,david33@example.org,Scott Farrell,M,54
112,GRZ,2022-07-27,2023-05-16,293,Wednesday,969606,EUR,71339,499999,205003,0.1426782853565707,2.873645551521608,0.41000682001364,45-70,M,trangail,david33@example.org,Scott Farrell,M,54
113,AKX,2022-08-02,2024-01-29,545,Tuesday,498496,GBP,70589,499997,102326,0.14117884707308243,1.4496026293048492,0.20465322791936752,45-60,B,henryrobert,fullermichelle@example.org,Jacob Hall,M,58
114,KTR,2023-12-24,2025-06-18,542,Sunday,146616,EUR,87540,500001,2852,0.17507964984070032,0.03257939227781585,0.005703988592022816,35-55,F,henryrobert,fullermichelle@example.org,Jacob Hall,M,58
115,KTR,2022-07-17,2022-07-31,14,Sunday,748276,GBP,12067,500003,397478,0.02413385519686882,32.939255821662385,0.7949512302926183,25-40,M,henryrobert,fullermichelle@example.org,Jacob Hall,M,58
116,BYU,2022-07-05,2023-06-23,353,Tuesday,354419,GBP,53135,500003,214356,0.1062693623838257,4.034177096076033,0.4287094277434335,25-45,F,haleybrian,james03@example.com,Charles Austin,M,24
117,KTR,2024-04-04,2025-05-06,397,Thursday,176491,EUR,42773,500003,127036,0.08554548672707964,2.970004442054567,0.2540704755771465,40-60,F,haleybrian,james03@example.com,Charles Austin,M,24
118,BYU,2022-12-02,2023-04-11,130,Friday,552311,GBP,7766,500001,464805,0.015531968936062127,59.85127478753541,0.9296081407837185,40-50,F,haleybrian,james03@example.com,Charles Austin,M,24
119,AKX,2023-09-20,2025-03-25,552,Wednesday,524103,EUR,39212,500001,280744,0.0784238431523137,7.159645006630623,0.561486877026246,30-55,B,johnsonbradley,npowers@example.com,Erin Harris,F,18
120,KTR,2022-10-17,2023-05-14,209,Monday,75775,GBP,41119,500001,14322,0.08223783552432895,0.34830613584960723,0.028643942712114574,20-40,B,johnsonbradley,npowers@example.com,Erin Harris,F,18
121,KTR,2022-07-30,2023-12-08,496,Saturday,947434,EUR,32991,500003,732080,0.06598160411037533,22.19029432269407,1.4641512150927094,45-70,B,angelavalencia,richmondanna@example.org,Carl Cowan,M,76
122,GRZ,2022-07-30,2023-02-20,205,Saturday,64030,GBP,51835,500002,38370,0.10366958532165871,0.7402334330085849,0.07673969304122784,20-25,B,angelavalencia,richmondanna@example.org,Carl Cowan,M,76
123,AKX,2023-11-27,2025-04-20,510,Monday,755433,GBP,17274,500000,353361,0.034548,20.456234803751304,0.706722,30-40,F,angelavalencia,richmondanna@example.org,Carl Cowan,M,76
124,AKX,2022-06-15,2022-12-23,191,Wednesday,541488,GBP,27758,500002,175192,0.05551577793688825,6.311405720873262,0.3503825984696061,40-65,M,angelavalencia,richmondanna@example.org,Carl Cowan,M,76
125,AKX,2023-11-06,2025-08-25,658,Monday,487165,GBP,29688,500000,281182,0.059376,9.471234168687685,0.562364,20-40,F,angelavalencia,richmondanna@example.org,Carl Cowan,M,76
126,KTR,2023-08-13,2025-02-22,559,Sunday,617555,EUR,32972,500005,166748,0.06594334056659433,5.057260706053621,0.3334926650733493,25-30,B,marksanders,fwhite@example.net,Kevin Weber,M,39
127,AKX,2023-04-09,2024-06-20,438,Sunday,625006,GBP,37596,500000,163263,0.075192,4.34256303862113,0.326526,45-55,M,marksanders,fwhite@example.net,Kevin Weber,M,39
128,BYU,2023-06-04,2024-09-05,459,Sunday,683841,EUR,57305,500001,350026,0.11460977078045843,6.108123200418811,0.7000505998988003,45-65,F,marksanders,fwhite@example.net,Kevin Weber,M,39
129,KTR,2022-05-04,2022-10-11,160,Wednesday,915782,USD,64952,499997,353762,0.12990477942867656,5.446514349057765,0.707528245169471,30-40,F,marksanders,fwhite@example.net,Kevin Weber,M,39
130,AKX,2023-05-26,2024-12-12,566,Friday,625547,GBP,16053,500000,546410,0.032106,34.03787454058431,1.09282,40-45,F,marksanders,fwhite@example.net,Kevin Weber,M,39
131,KTR,2022-05-01,2024-04-26,726,Sunday,382766,EUR,74974,500001,203275,0.1499477001045998,2.711273241390349,0.40654918690162617,20-35,F,marksanders,fwhite@example.net,Kevin Weber,M,39
132,KTR,2022-10-17,2022-12-30,74,Monday,51011,USD,28891,499997,29905,0.05778234669408017,1.0350974351874287,0.059810358862153176,45-55,M,marksanders,fwhite@example.net,Kevin Weber,M,39
133,GRZ,2022-11-21,2024-01-12,417,Monday,349520,USD,39267,499999,334325,0.07853415706831414,8.514146738992029,0.6686513373026746,30-50,B,marksanders,fwhite@example.net,Kevin Weber,M,39
134,BYU,2022-08-21,2024-05-30,648,Sunday,218552,EUR,32858,499994,175256,0.06571678860146321,5.333739119849048,0.3505162061944743,20-45,B,pmoore,johnathan88@example.com,Danielle Patterson,F,23
135,AKX,2023-02-25,2024-06-30,491,Saturday,926929,USD,79538,500004,758799,0.1590747274021808,9.540081470492092,1.5175858593131255,25-30,M,pmoore,johnathan88@example.com,Danielle Patterson,F,23
136,GRZ,2022-08-13,2024-06-03,660,Saturday,730335,GBP,24138,499999,585672,0.0482760965521931,24.263484961471537,1.1713463426926853,30-55,M,pmoore,johnathan88@example.com,Danielle Patterson,F,23
